,,,,,,,
Name of the file,SyntheticData.csv,,,,,,
Disclaimer,"Data appearing in this work is fictitious. Any resemblance to real persons, living or dead, is purely coincidental.",,,,,,
,"Synthetic Data generated by Sudhir Wadhwa , June 29th, 2014 , USA for learning purpose. Feel free to disctribute for education purpose only",,,,,,
,sudhir.wadhwa@gmail.com,,,,,,
,,,,,,,
,,,,,,,
Place of Birth,Place of Birth,M = Masters,M = Masters,What is the Zip Code/,Did Stident go to ,Did Student ,SAT Score
of Child,Parents,B = BA,B = BA,Postal Code of ,Prviate School,Take coaching,600 min
,(keeping simple: both ,P = Phd,P = Phd,the Student ( house)?,from 9th grade,to prepare,2400 max
,Parents born in,NA = Not Avilable,NA = Not Avilable,,to 12th grade?,for SAT?,
,same country,,,,,,
,,,,,,,
,,,,,,,
POBStudent,POBParent ,Parent1Education,Parent2Education,ZipPostalCode,PrivateSchool,SATCoaching ,SAT Score
USA,India,M,M,95070,Yes,Yes,2210
USA,India,B,B,95014,Yes,No,2100
USA,China,M,B,94587,Yes,No,2000
USA,China,P,M,90017,No,No,2200
USA,USA,NA,M,90017,Yes,No,2345
USA,USA,NA,M,90017,Yes,Yes,2200
USA,China,M,M,90017,Yes,Yes,2200
USA,China,M,B,90017,No,Yes,1290
USA,Taiwan,M,B,90017,Yes,Yes,2134
USA,Taiwan,M,B,90025,Yes,No,1999
USA,China,B,B,92617,Yes,No,1987
USA,India,NA,B,95070,No,No,2001
USA,UK,NA,B,92653,No,No,2200
USA,UK,B,B,93513,Yes,No,2400
USA,UK,B,B,93514,Yes,No,2100
USA,China,B,M,90017,Yes,Yes,2200
USA,India,B,M,90025,Yes,No,2156
USA,India,B,M,92617,No,Yes,2290
USA,India,M,M,95070,Yes,No,2199
USA,Vietnam,B,B,92653,Yes,Yes,2300
USA,Vietnam,M,B,93513,Yes,No,2366
USA,USA,B,B,93514,No,Yes,1765
USA,USA,NA,B,95018,No,Yes,999
USA,USA,NA,B,95018,Yes,Yes,1200
USA,UK,B,B,95018,No,Yes,1278
USA,UK,B,B,95018,No,Yes,1453
USA,USA,B,B,95062,No,Yes,1567
USA,China,B,M,95062,No,Yes,1690
USA,China,M,B,95062,No,No,1999
USA,China,B,B,95062,No,Yes,2100
USA,India,M,M,95062,No,Yes,2200
USA,India,P,M,95062,No,No,1989
USA,India,NA,M,95062,No,No,1000
USA,India,NA,M,94022,No,No,999
USA,India,M,B,94022,No,No,2009
USA,India,M,B,94022,No,No,2000
USA,India,M,B,94022,Yes,No,2045
USA,Taiwan,B,B,94022,Yes,Yes,2000
USA,Taiwan,B,B,94022,Yes,No,2000
USA,China,B,B,94022,No,Yes,2100
USA,India,NA,B,94022,No,No,2400
USA,UK,M,B,94022,No,Yes,2400
USA,UK,M,B,94022,No,Yes,2399
USA,UK,M,B,94022,No,Yes,2367
USA,China,B,B,95014,No,Yes,2345
USA,India,B,B,94301,No,Yes,999
USA,India,B,B,94301,No,Yes,1099
USA,India,B,B,94301,No,Yes,2099
USA,Vietnam,NA,B,94301,No,No,2111
USA,Vietnam,NA,B,94301,Yes,Yes,2100
USA,USA,B,B,94301,Yes,Yes,999
USA,USA,B,B,94301,Yes,No,698
USA,USA,B,B,94301,No,No,745
USA,UK,B,B,94301,No,NA,888
USA,UK,M,B,94301,No,NA,876
USA,USA,B,B,94301,No,Yes,890
USA,China,M,B,93513,No,Yes,900
USA,China,P,B,93514,No,NA,1200
USA,China,NA,B,95018,No,Yes,1399
USA,India,NA,B,95018,Yes,Yes,1444
USA,India,M,B,95018,Yes,NA,1234
USA,Korea,M,B,95018,Yes,Yes,2100
USA,Korea,M,B,95062,No,Yes,2200
USA,Taiwan,B,B,95062,No,No,2400
USA,USA,B,B,95062,Yes,No,1290
USA,USA,B,B,95062,Yes,NA,2345
USA,China,NA,B,95062,Yes,NA,2200
USA,China,M,B,95062,Yes,Yes,2212
USA,India,M,B,95062,Yes,Yes,2315
USA,India,M,B,94022,Yes,NA,2400
USA,India,B,B,94022,Yes,Yes,2399
USA,India,B,B,94022,Yes,Yes,2367
USA,India,B,B,94022,No,NA,2345
USA,India,B,M,94022,No,NA,999
USA,India,B,M,94022,No,NA,1099
USA,Singapore,B,M,94022,Yes,NA,2099
USA,Singapore,B,B,94035,Yes,NA,2111
USA,Australia,B,B,94035,Yes,Yes,2100
USA,Australia,B,B,94035,No,No,999
USA,Australia,M,B,94035,No,No,698
USA,Australia,M,M,94035,Yes,NA,745
USA,China,B,M,94035,Yes,Yes,888
USA,India,B,M,94035,Yes,Yes,876
USA,Australia,B,B,94035,Yes,NA,890
USA,Japan,NA,B,94035,Yes,NA,900
USA,Japan,M,B,94035,Yes,NA,1200
USA,Japan,M,B,94027,Yes,NA,1399
USA,Japan,M,M,94027,Yes,NA,1444
USA,Japan,B,M,94027,No,Yes,1234
USA,India,B,M,94027,No,No,2100
USA,India,B,B,94027,Yes,No,2200
USA,India,B,B,94027,Yes,Yes,2400
USA,India,B,B,94027,Yes,Yes,1290
USA,China,B,B,94027,Yes,NA,2345
USA,China,B,B,94027,Yes,Yes,2200
USA,China,B,B,94027,Yes,Yes,2212
USA,India,B,B,95015,Yes,NA,2315
USA,India,M,B,95014,Yes,Yes,2400
USA,India,M,B,95014,Yes,Yes,2400
,,,,,,,
